ClientName,NetAssets,EstablishedTime,Region,NumberOfFunds,InvestmentServicingCost,CustodyCost,AssetUnderManagement,ETFSolutionsCost,FundAccountingCost,RiskAnalyticsCost,MultiAssetClassAnalyticsCost,DigitalExperienceCost,PortfolioSolutionsCost,FXServicesCost,FinancingCollateralServicesCost,HasCollateral,Horizon,CustomerValue
CIBC Private Wealth Management,3825.57,2005,EUR,6,0,0,0,0,7920.105377,0,0,0,0,0,0,N,NA,7920.105377
Frost Funds,3768.97,2008,EUR,5,0,0,0,0,6889.097981,0,0,0,0,0,0,N,NA,6889.097981
Hotchkis & Wiley,3766.04,1985,EUR,11,0,0,0,0,3274.194616,0,0,0,0,0,0,N,NA,3274.194616
Boston Partners,3736.11,1972,EUR,10,0,0,0,0,9951.707743,0,0,0,0,0,0,N,NA,9951.707743
Advisors Preferred,3714.87,2004,EUR,20,0,0,0,0,2521.555686,0,0,0,0,0,0,N,NA,2521.555686
Sequoia,3713.61,1970,EUR,1,5926.528343,5926.528343,3156.5685,5926.528343,5926.528343,0,0,0,0,0,0,N,NA,23706.11337
Howard Capital Management,3672.46,2014,EUR,5,1511.75629,1511.75629,3121.591,1511.75629,1511.75629,0,0,0,0,0,0,N,NA,6047.02516
Conestoga Capital Advisors,3671.28,2002,EUR,3,2785.07562,2785.07562,3120.588,2785.07562,2785.07562,0,0,0,0,0,0,N,NA,11140.30248
Tortoise,3658.36,2004,EUR,8,1083.516024,1083.516024,3109.606,1083.516024,1083.516024,0,0,0,0,0,0,N,NA,4334.064096
U.S. Global Investors,3656.78,1974,EUR,11,699.9369775,699.9369775,3108.263,699.9369775,699.9369775,0,0,0,0,0,0,N,NA,2799.74791
Bridgeway,3600.59,1994,APAC,8,1980.784156,1980.784156,3060.5015,1980.784156,1980.784156,0,0,0,0,0,0,N,NA,7923.136624
Cavanal Hill funds,3577.36,1990,APAC,11,922.027722,922.027722,3040.756,922.027722,922.027722,0,0,0,0,0,0,N,NA,3688.110888
Amplify ETFs,3529.77,2012,APAC,15,3016.863998,3016.863998,3000.3045,3016.863998,3016.863998,0,0,0,0,0,0,N,NA,12067.45599
Hennessy,3490.38,1989,APAC,16,731.2441803,731.2441803,2966.823,731.2441803,731.2441803,0,0,0,0,0,0,N,NA,2924.976721
Weitz,3476.1,1983,APAC,9,3753.523175,3753.523175,2954.685,3753.523175,3753.523175,0,0,0,0,0,0,N,NA,15014.0927
Barclays,3464.6,2006,APAC,57,2319.30846,2319.30846,2944.91,2319.30846,2319.30846,0,0,0,0,0,0,N,NA,9277.233839
Community Capital Management,3359.26,1996,APAC,4,1568.530969,1568.530969,2855.371,1568.530969,1568.530969,0,0,0,0,0,0,N,NA,6274.123875
GuidePath,3324.55,2011,APAC,10,971.6618535,971.6618535,2825.8675,971.6618535,971.6618535,0,0,0,0,0,0,N,NA,3886.647414
Driehaus,3268.31,1997,APAC,8,1096.56939,1096.56939,2778.0635,1096.56939,1096.56939,0,0,0,0,0,0,N,NA,4386.277558
Johnson Mutual Funds,3220.5,1993,APAC,9,2841.316915,2841.316915,2737.425,2841.316915,2841.316915,0,0,0,0,0,0,N,NA,11365.26766
Value Line,3216.4,1950,APAC,7,1402.741085,1402.741085,2733.94,1402.741085,1402.741085,0,0,0,0,0,0,N,NA,5610.96434
Meridian,3174.32,1984,APAC,4,728.2230088,728.2230088,2698.172,728.2230088,728.2230088,0,0,0,0,0,0,N,NA,2912.892035
Permanent Portfolio,3133.41,1982,APAC,4,1728.932479,1728.932479,2663.3985,1728.932479,1728.932479,0,0,0,0,0,0,N,NA,6915.729915
Boston Trust Walden Funds,3124.21,1995,APAC,10,1565.665827,1565.665827,2655.5785,1565.665827,1565.665827,0,0,0,0,0,0,N,NA,6262.663307
Davenport,3114.18,1998,APAC,5,1625.849262,1625.849262,2647.053,1625.849262,1625.849262,0,0,0,0,0,0,N,NA,6503.397049
Horizon Investments,3099.95,2012,US,7,2001.849844,2001.849844,2634.9575,2001.849844,2001.849844,0,0,0,0,0,0,N,NA,8007.399376
AAM,3093.91,2006,US,9,732.479128,732.479128,2629.8235,732.479128,732.479128,0,0,0,0,0,0,N,NA,2929.916512
Microsectors,3061.04,2019,US,12,1492.388243,1492.388243,2601.884,1492.388243,1492.388243,0,0,0,0,0,0,N,NA,5969.55297
Brookfield Investment Funds,3058.89,2010,US,5,1368.289968,1368.289968,2600.0565,1368.289968,1368.289968,0,0,0,0,0,0,N,NA,5473.15987
Segall Bryant & Hamill,3035.76,1988,US,14,1411.349166,1411.349166,2580.396,1411.349166,1411.349166,0,0,0,0,0,0,N,NA,5645.396665
Adams Funds,2963.97,1929,US,2,0,0,0,1592.315589,0,1592.315589,1592.315589,0,0,0,1592.315589,Y,Long,6369.262355
Westwood,2808.99,2001,US,10,0,0,0,2958.44183,0,2958.44183,2958.44183,0,0,0,2958.44183,Y,Long,11833.76732
Commerce,2770.72,1994,US,8,0,0,0,1530.276982,0,1530.276982,1530.276982,0,0,0,1530.276982,Y,Long,6121.107929
Tekla Capital Management LLC,2769.91,1987,US,4,0,0,0,1289.842437,0,1289.842437,1289.842437,0,0,0,1289.842437,Y,Long,5159.369746
Ave Maria Mutual Funds,2736.74,2001,US,6,0,0,0,628.64799,0,628.64799,628.64799,0,0,0,628.64799,Y,Long,2514.59196
Kopernik,2721.77,2013,US,2,0,0,0,2167.152815,0,2167.152815,2167.152815,0,0,0,2167.152815,Y,Long,8668.611261
Homestead,2704.14,1990,US,10,0,0,0,1240.241346,0,1240.241346,1240.241346,0,0,0,1240.241346,Y,Long,4960.965384
Aquila,2639.7,1985,US,9,0,0,0,1376.034758,0,1376.034758,1376.034758,0,0,0,1376.034758,Y,Long,5504.139033
Domini,2583.19,1991,US,5,0,0,0,1876.863843,0,1876.863843,1876.863843,0,0,0,1876.863843,Y,Long,7507.455372
LSV Fund,2581.34,1999,US,7,0,0,0,8067.462848,0,8067.462848,8067.462848,0,0,0,8067.462848,Y,Long,32269.85139
Madison Funds,2551.22,1978,US,15,0,0,0,1414.257897,0,1414.257897,1414.257897,0,0,0,1414.257897,Y,Short,5657.031588
Meeder Funds,2501.02,1985,US,10,0,0,0,1265.439476,0,1265.439476,1265.439476,0,0,0,1265.439476,Y,Long,5061.757902
The Pacific Financial Group,2410.08,2017,US,12,0,0,0,1478.195957,0,1478.195957,1478.195957,0,0,0,1478.195957,Y,Short,5912.783829
iM Global Partner Fund Management,2405.02,1996,US,10,0,0,0,3795.569938,0,3795.569938,3795.569938,0,0,0,3795.569938,Y,Short,15182.27975
Abbey Capital,2354.57,2014,US,2,0,0,0,2686.757735,0,2686.757735,2686.757735,0,0,0,2686.757735,Y,Long,10747.03094
FAM,2336.35,1987,US,3,0,0,0,512.655878,0,512.655878,512.655878,0,0,0,512.655878,Y,Short,2050.623512
Shelton Capital Management,2326.83,1985,APAC,12,0,0,0,616.3612163,0,616.3612163,616.3612163,0,0,0,616.3612163,Y,Short,2465.444865
Thompson IM,2317.85,1992,APAC,3,0,0,0,1335.780332,0,1335.780332,1335.780332,0,0,0,1335.780332,Y,Long,5343.121327
MFS Investment Management,2300.41,2021,APAC,1,0,0,0,2029.957268,0,2029.957268,2029.957268,0,0,0,2029.957268,Y,Long,8119.829071
Clarkston Funds,2293.12,2015,APAC,3,0,0,0,1151.316291,0,1151.316291,1151.316291,0,0,0,1151.316291,Y,Long,4605.265164
Sit,2286.82,1982,APAC,14,0,0,0,1602.196394,0,1602.196394,1602.196394,0,0,0,1602.196394,N,Long,6408.785577
MFS Heritage Trust Co,2275.69,2021,APAC,1,0,0,0,594.133377,0,594.133377,594.133377,0,0,0,594.133377,N,Long,2376.533508
Praxis Mutual Funds,2262.38,1999,APAC,8,0,0,0,802.7675043,0,802.7675043,802.7675043,0,0,0,802.7675043,N,Long,3211.070017
Vulcan Value Partners,2261.94,2009,APAC,2,0,0,0,0,0,2547.261131,2547.261131,0,0,0,0,N,NA,5094.522262
PNC Funds,2220.64,1994,APAC,8,0,0,0,0,0,12877.63909,12877.63909,0,0,0,0,N,NA,25755.27817
Sprott,2213.26,1998,APAC,4,0,0,0,0,0,4336.11486,4336.11486,0,0,0,0,N,NA,8672.229719
Symmetry Partners,2185.3,2018,APAC,8,0,0,0,0,0,4022.36536,4022.36536,0,0,0,0,N,NA,8044.73072
ProFunds,2170.72,1997,APAC,65,0,0,0,0,0,2000.759549,2000.759549,0,0,0,0,N,NA,4001.519098
STONE RIDGE,2168.03,2013,APAC,4,0,0,0,0,0,8353.058495,8353.058495,0,0,0,0,N,NA,16706.11699
PartnerSelect,2148.43,1996,APAC,6,0,0,0,0,0,4272.205539,4272.205539,0,0,0,0,N,NA,8544.411077
Brandes,2128.32,1997,APAC,8,0,0,0,0,0,3902.656435,3902.656435,0,0,0,0,N,NA,7805.31287
Kayne Anderson,2112.12,2004,APAC,3,0,0,0,0,0,3056.378434,3056.378434,0,0,0,0,N,NA,6112.756868
Congress,2062.02,1928,APAC,3,0,0,0,0,0,2386.471924,2386.471924,0,0,0,0,N,NA,4772.943848
Seafarer Funds,2021.73,2012,APAC,2,0,0,0,0,0,5489.547795,5489.547795,0,0,0,0,N,NA,10979.09559
ICM Series Trust,1980.05,1989,APAC,1,0,0,0,0,0,2502.131909,2502.131909,0,0,0,0,N,NA,5004.263818
Timothy Plan,1876.93,1994,APAC,18,0,0,0,0,0,6611.521895,6611.521895,0,0,0,0,N,NA,13223.04379
AlphaCentric Funds,1876.36,2015,APAC,8,0,0,0,0,0,1311.657715,1311.657715,0,0,0,0,N,NA,2623.31543
Reaves Asset Management,1866.07,2004,APAC,2,0,0,0,0,0,8920.097775,8920.097775,0,0,0,0,N,NA,17840.19555
Cullen Funds Trust,1856.45,2003,EUR,6,0,0,0,0,0,2553.055914,2553.055914,0,0,0,0,N,NA,5106.111827
RiverNorth Funds,1854.33,2006,EUR,3,0,0,0,0,0,8965.302255,8965.302255,0,0,0,0,N,NA,17930.60451
Aptus Capital Advisors,1844.36,2016,EUR,4,0,0,0,0,0,2728.671285,2728.671285,0,0,0,0,N,NA,5457.342569
Miller Value Funds,1842.16,1999,EUR,2,0,0,0,0,0,3281.822072,3281.822072,0,0,0,0,N,NA,6563.644143
Arbitrage Fund,1842.09,2000,EUR,3,0,0,0,0,0,2406.262611,2406.262611,0,0,0,0,N,NA,4812.525221
Trust for Credit Unions,1828.53,1991,EUR,2,0,0,0,0,0,14664.02093,14664.02093,0,0,0,0,N,NA,29328.04185
TD Asset Management,1812.36,2006,EUR,1,0,0,0,0,0,2886.760356,2886.760356,0,0,0,0,N,NA,5773.520711
Flaherty & Crumrine,1808.06,1991,EUR,5,0,0,0,0,0,3423.55945,3423.55945,0,0,0,0,N,NA,6847.1189
ALPS Advisors Inc,1801.84,1986,EUR,2,0,0,0,0,0,1797.65643,1797.65643,0,0,0,0,N,NA,3595.31286
Shenkman Funds,1795.04,2012,EUR,2,7618.537363,0,0,7618.537363,0,0,0,0,7618.537363,0,0,N,NA,22855.61209
Salient,1782.31,2001,EUR,6,2619.804856,0,0,2619.804856,0,0,0,0,2619.804856,0,0,N,NA,7859.414569
Dunham Funds,1779.54,2004,EUR,14,1371.859146,0,0,1371.859146,0,0,0,0,1371.859146,0,0,N,NA,4115.577437
Frontier Funds,1774.29,2011,EUR,6,1676.546259,0,0,1676.546259,0,0,0,0,1676.546259,0,0,N,NA,5029.638777
Infinity Q,1763.39,2014,EUR,1,1607.139485,0,0,1607.139485,0,0,0,0,1607.139485,0,0,N,NA,4821.418454
Freedom Funds,1752.4,1987,EUR,1,1668.10349,0,0,1668.10349,0,0,0,0,1668.10349,0,0,N,NA,5004.310469
Independent Franchise Partners,1751.1,2011,EUR,1,2876.684648,0,0,2876.684648,0,0,0,0,2876.684648,0,0,N,NA,8630.053943
Gotham,1749.97,2012,EUR,15,3107.361707,0,0,3107.361707,0,0,0,0,3107.361707,0,0,N,NA,9322.08512
Cabana,1726.65,2020,EUR,8,5575.853543,0,0,5575.853543,0,0,0,0,5575.853543,0,0,N,NA,16727.56063
Aristotle,1718.15,2012,EUR,6,1217.510812,0,0,1217.510812,0,0,0,0,1217.510812,0,0,N,NA,3652.532435
UBS,1714.24,2003,APAC,3.8,2052.867057,0,0,2052.867057,0,0,0,0,2052.867057,0,0,N,NA,6158.601171
ClearBridge,1701.52,2010,APAC,9.7,1458.694653,0,0,1458.694653,0,0,0,0,1458.694653,0,0,N,NA,4376.083958
"Boulder Capital, LLC",1693.94,1972,APAC,4.3,1856.485385,0,0,1856.485385,0,0,0,0,1856.485385,0,0,N,NA,5569.456156
AdvisorShares,1693.57,2010,APAC,3.1,858.8376687,0,0,858.8376687,0,0,0,0,858.8376687,0,0,N,NA,2576.513006
Selected Funds,1685.53,1933,APAC,18,2782.327744,0,0,2782.327744,0,0,0,0,2782.327744,0,0,N,NA,8346.983233
Plan Investment Fund,1670.73,1987,APAC,27.3,2107.974621,0,0,2107.974621,0,0,0,0,2107.974621,0,0,N,NA,6323.923864
Graniteshares,1618.89,2015,APAC,4.7,1991.04781,0,0,1991.04781,0,0,0,0,1991.04781,0,0,N,NA,5973.14343
Boulder Growth & Income Fund,1568.67,1972,APAC,4.4,1568.892331,0,0,1568.892331,0,0,0,0,1568.892331,0,0,N,NA,4706.676993
Fairholme,1547.48,1999,APAC,21.1,2697.803419,0,0,2697.803419,0,0,0,0,2697.803419,0,0,N,NA,8093.410258
CAMBRIA ETF TRUST,1537.85,2013,APAC,7.1,1678.581548,0,0,1678.581548,0,0,0,0,1678.581548,0,0,N,NA,5035.744643
Sands Capital,1520.73,2010,APAC,7.6,3009.289073,0,0,3009.289073,0,0,0,0,3009.289073,0,0,N,NA,9027.867218
Robo Global,1520.08,2013,APAC,2.6,2429.628283,0,0,2429.628283,0,0,0,0,2429.628283,0,0,N,NA,7288.884849
Strategy Shares,1519.6,2018,APAC,4.3,6014.159807,0,0,6014.159807,0,0,0,0,6014.159807,0,0,N,NA,18042.47942
Kinetics,1519.58,1996,APAC,16.3,1664.021014,0,0,1664.021014,0,0,0,0,1664.021014,0,0,N,NA,4992.063043
Rational Funds,1511.41,2001,APAC,3.2,0,3034.089283,906.846,0,3034.089283,3034.089283,0,0,0,0,0,N,NA,9102.267849
Evoke,1501.62,2019,APAC,2.4,0,846.8025753,900.972,0,846.8025753,846.8025753,0,0,0,0,0,N,NA,2540.407726
PMC Funds,1454.79,2007,APAC,8.5,0,4313.963977,872.874,0,4313.963977,4313.963977,0,0,0,0,0,N,NA,12941.89193
Marsico Investment Fund,1453.74,1997,APAC,11,0,788.4495337,872.244,0,788.4495337,788.4495337,0,0,0,0,0,N,NA,2365.348601
Cornerstone,1447.99,1973,APAC,16.3,0,1906.921688,868.794,0,1906.921688,1906.921688,0,0,0,0,0,N,NA,5720.765064
Easterly Funds,1443.87,2006,APAC,9.4,0,2345.178029,866.322,0,2345.178029,2345.178029,0,0,0,0,0,N,NA,7035.534088
Axonic,1436.44,2019,APAC,2.4,0,878.9925767,861.864,0,878.9925767,878.9925767,0,0,0,0,0,N,NA,2636.97773
Horizon Kinetics,1436.37,2021,APAC,1.4,0,1798.610656,861.822,0,1798.610656,1798.610656,0,0,0,0,0,N,NA,5395.831967
RiverPark Funds,1432.15,2010,US,10.9,0,2794.210039,859.29,0,2794.210039,2794.210039,0,0,0,0,0,N,NA,8382.630118
Heartland,1424.34,1984,US,14.4,0,10387.24841,854.604,0,10387.24841,10387.24841,0,0,0,0,0,N,NA,31161.74523
Simplify Asset Management,1409.49,2020,US,1.1,0,962.5807527,845.694,0,962.5807527,962.5807527,0,0,0,0,0,N,NA,2887.742258
Swan,1403.12,2012,US,5.4,0,2904.974045,841.872,0,2904.974045,2904.974045,0,0,0,0,0,N,NA,8714.922135
Jackson Square,1391.1,1993,US,13.2,0,8528.575943,834.66,0,8528.575943,8528.575943,0,0,0,0,0,N,NA,25585.72783
Vident Financial,1387.7,2013,US,3,0,3424.202733,832.62,0,3424.202733,3424.202733,0,0,0,0,0,N,NA,10272.6082
"Highland Capital Management Fund Advisors, L.P.",1382.49,1998,US,8.8,0,1458.787864,829.494,0,1458.787864,1458.787864,0,0,0,0,0,N,NA,4376.363592
Hambrecht & Quist,1376.55,1987,US,20.4,0,1772.965547,825.93,0,1772.965547,1772.965547,0,0,0,0,0,N,NA,5318.89664
New Covenant,1375.41,1999,US,5.8,0,1573.254064,825.246,0,1573.254064,1573.254064,0,0,0,0,0,N,NA,4719.762191
Wealthfront,1340.34,2018,US,3,0,1476.010528,804.204,0,1476.010528,1476.010528,0,0,0,0,0,N,NA,4428.031583
Third Avenue,1331.98,1990,US,6.6,0,1959.725364,799.188,0,1959.725364,1959.725364,0,0,0,0,0,N,NA,5879.176092
Franklin Templeton Invts,1309.58,2017,US,2.3,0,3138.969495,785.748,0,3138.969495,3138.969495,0,0,0,0,0,N,NA,9416.908485
Crossmark Steward Funds,1305.28,1952,US,4.8,0,2762.718526,783.168,0,2762.718526,2762.718526,0,0,0,0,0,N,NA,8288.155579
Allspring Funds Management LLC,1291.59,2003,US,5.4,0,10884.9461,774.954,0,10884.9461,10884.9461,0,0,0,0,0,N,NA,32654.8383
IVA Funds,1279.94,2008,US,12.5,0,1573.150017,767.964,0,1573.150017,1573.150017,0,0,0,0,0,N,NA,4719.450052
Defiance ETFs,1271.41,2018,US,3.1,0,1301.158261,762.846,0,1301.158261,1301.158261,0,0,0,0,0,N,NA,3903.474784
"ClearBridge Advisors, LLC",1268.16,2010,US,11,0,1819.086559,760.896,0,1819.086559,1819.086559,0,0,0,0,0,N,NA,5457.259678
Wells Fargo,1261.02,2003,US,11.8,0,1362.678202,756.612,0,0,0,0,0,0,1362.678202,0,N,NA,2725.356404
Spyglass Capital Management,1250.8,2017,US,4.4,0,2216.98684,750.48,0,0,0,0,0,0,2216.98684,0,N,NA,4433.97368
Motley Fool,1242.21,2014,US,6.1,0,2666.231347,745.326,0,0,0,0,0,0,2666.231347,0,N,NA,5332.462694
Advisor Managed Tr(Tactical),1241.97,2011,US,2.6,0,1157.547493,745.182,0,0,0,0,0,0,1157.547493,0,N,NA,2315.094985
Oberweis,1231.54,1987,US,10.9,0,2705.976844,738.924,0,0,0,0,0,0,2705.976844,0,N,NA,5411.953687
North Square,1223.93,1994,US,6,0,4793.66617,734.358,0,0,0,0,0,0,4793.66617,0,N,NA,9587.33234
Tributary Funds,1217.51,1992,US,17,0,11051.7536,730.506,0,0,0,0,0,0,11051.7536,0,N,NA,22103.5072
Wilshire Mutual Funds,1214.65,1992,US,5.1,0,4882.472654,728.79,0,0,0,0,0,0,4882.472654,0,N,NA,9764.945308
O'Shares Investments,1208.78,2015,US,2.2,0,1283.575734,725.268,0,0,0,0,0,0,1283.575734,0,N,NA,2567.151468
Dupree,1207.85,1979,US,14.7,0,1325.311391,724.71,0,0,0,0,0,0,1325.311391,0,N,NA,2650.622781
Oak Associates,1201.04,1992,US,7.2,0,5632.18167,720.624,0,0,0,0,0,0,5632.18167,0,N,NA,11264.36334
1290 Funds,1188.78,2014,US,5.4,0,1084.261732,713.268,0,0,0,0,0,0,1084.261732,0,N,NA,2168.523464
Cambiar Funds,1185.47,1998,US,11.8,0,4305.333745,711.282,0,0,0,0,0,0,4305.333745,0,N,NA,8610.667489
LKCM,1179.7,1994,US,15.1,0,1417.323118,707.82,0,0,0,0,0,0,1417.323118,0,N,NA,2834.646235
Alpha Architect,1179.06,2014,US,3.2,0,4465.069864,707.436,0,0,0,0,0,0,4465.069864,0,N,NA,8930.139728
Highland Funds,1178.5,1998,US,3.1,0,2768.19348,707.1,0,0,0,0,0,0,2768.19348,0,N,NA,5536.386959
CGM,1160.33,1929,US,30.6,0,1420.427145,696.198,0,0,0,0,0,0,1420.427145,0,N,NA,2840.85429
Miller Investment,1148.79,2007,US,12.2,0,4041.440478,689.274,0,0,0,0,0,0,4041.440478,0,N,NA,8082.880956
Sound Shore,1136.91,1985,EUR,30.9,0,2627.367139,682.146,0,0,0,0,0,0,2627.367139,0,N,NA,5254.734278
Ashmore,1135.13,2010,EUR,8.4,0,2558.118789,681.078,0,0,0,0,0,0,2558.118789,0,N,NA,5116.237577
Aperture Investors,1132.02,2019,EUR,2.5,0,1517.323499,679.212,0,0,0,0,0,0,1517.323499,0,N,NA,3034.646997
General American Investors Company Inc,1121.58,1927,EUR,9.4,0,4012.44996,672.948,0,0,0,0,0,0,4012.44996,0,N,NA,8024.89992
Teucrium,1116.85,2010,EUR,11,0,9105.571595,670.11,0,0,0,0,0,0,9105.571595,0,N,NA,18211.14319
Chiron Investment Management,1107.18,2015,EUR,5.4,0,2560.781656,664.308,0,0,0,0,0,0,2560.781656,0,N,NA,5121.563312
Invenomic,1106.95,2017,EUR,5,0,2150.178588,664.17,0,0,0,0,0,0,0,0,N,NA,2150.178588
Counterpoint Mutual Funds,1101.92,2014,EUR,5.8,0,5595.389905,661.152,0,0,0,0,0,0,0,0,N,NA,5595.389905
Palmer Square,1101.21,2014,EUR,6.3,0,7562.824036,660.726,0,0,0,0,0,0,0,0,N,NA,7562.824036
Exchange Traded Concepts,1098.77,2018,EUR,1.4,0,5385.853211,659.262,0,0,0,0,0,0,0,0,N,NA,5385.853211
Stone Harbor,1091.99,2007,EUR,10,0,4718.558501,655.194,0,0,0,0,0,0,0,0,N,NA,4718.558501
Emerald,1082.76,1992,EUR,21.2,0,9422.567923,649.656,0,0,0,0,0,0,0,0,N,NA,9422.567923
"CBRE Clarion Securities, LLC",1073.8,2004,EUR,17.6,0,3605.860265,644.28,0,0,0,0,0,0,0,0,N,NA,3605.860265
1919 Funds,1068.57,1991,EUR,7,0,7762.590564,641.142,0,0,0,0,0,0,0,0,N,NA,7762.590564
Catholic Investor,1065.74,2015,EUR,4.9,0,23444.90045,639.444,0,0,0,0,0,0,0,0,N,NA,23444.90045
Green Century,1062.15,1992,EUR,10.5,0,2558.178159,637.29,0,0,0,0,0,0,0,0,N,NA,2558.178159
DF Dent Funds,1059.27,2001,EUR,10.5,0,5123.170887,635.562,0,0,0,0,0,0,0,0,N,NA,5123.170887
Inspire,1054.83,2017,EUR,2.2,0,2537.744494,632.898,0,0,0,0,0,0,0,0,N,NA,2537.744494
Main Management ETFs,1054.21,2017,EUR,3.5,0,2969.593296,632.526,0,0,0,0,0,0,0,0,N,NA,2969.593296
Hood River Capital Management,1038.16,2003,US,16.2,0,4363.124641,622.896,0,0,0,0,0,0,0,0,N,NA,4363.124641
Clipper Fund,1031.16,1984,US,12.4,0,5884.308607,618.696,0,0,0,0,0,0,0,0,N,NA,5884.308607
Macquarie,1029.06,1993,US,5.7,0,5272.191556,617.436,0,0,0,0,0,0,0,0,N,NA,5272.191556
RMB Funds,1014.06,1975,US,9,0,5509.895664,608.436,0,0,0,0,0,0,0,0,N,NA,5509.895664
GuideMark,1011.81,2001,US,5.5,0,16313.68349,607.086,0,0,0,0,0,0,0,0,N,NA,16313.68349
Coho,1004.78,2013,US,3.3,0,5678.050167,602.868,0,0,0,0,0,0,0,0,N,NA,5678.050167
Absolute Investment Advisers,985.62,2005,US,4,0,12101.20884,591.372,0,0,0,0,0,0,0,0,N,NA,12101.20884
Pioneer,979.93,2002,US,9.7,0,2453.570794,587.958,0,0,0,0,0,0,0,0,N,NA,2453.570794
CBRE Investment Management Listed Real Assets LLC,979.36,2004,US,0.4,0,5075.66267,587.616,0,0,0,0,0,0,0,0,N,NA,5075.66267
Davis ETFs,967.56,2017,US,5,0,3214.979402,580.536,0,0,0,0,0,0,0,0,N,NA,3214.979402
Redwood,954.54,2013,US,5.3,0,12275.34309,572.724,0,0,0,0,0,0,0,0,N,NA,12275.34309
Trillium Mutual Funds,944.44,1999,US,2.4,0,0,0,0,0,0,0,0,0,2722.210707,0,N,NA,2722.210707
Acadian Funds,939.37,1993,US,5.9,0,0,0,0,0,0,0,0,0,2457.440923,0,N,NA,2457.440923
Adhia,920.62,2000,US,21.5,0,0,0,0,0,0,0,0,0,3554.845264,0,N,NA,3554.845264
Yorktown Funds,918.95,1985,US,12.3,0,0,0,0,0,0,0,0,0,4929.549699,0,N,NA,4929.549699
Absolute Strategies,915.06,2005,US,4.1,0,0,0,0,0,0,0,0,0,8036.45034,0,N,NA,8036.45034
WesMark,902.41,1993,US,9,0,0,0,0,0,0,0,0,0,4276.915328,0,N,NA,4276.915328
CRM,898.62,1995,US,7.6,0,0,0,0,0,0,0,0,0,33473.34946,0,N,NA,33473.34946
Chartwell Investment Partners,889.89,1987,US,5.8,0,0,0,0,0,0,0,0,0,5960.581363,0,N,NA,5960.581363
Mondrian,888.51,1992,US,9.9,0,0,0,0,0,0,0,0,0,44795.46942,0,N,NA,44795.46942
Wanger,878.15,1995,US,1.6,0,0,0,0,0,0,0,0,0,3832.118106,0,N,NA,3832.118106
Pzena,872.71,2014,US,7.2,0,0,0,0,0,0,0,0,0,6837.932624,0,N,NA,6837.932624
Victory,863.96,1983,US,9.2,0,0,0,0,0,0,0,0,0,5285.26816,0,N,NA,5285.26816
Hamlin Funds,860.44,2012,US,7.4,0,0,0,0,0,0,0,0,0,3096.511217,0,N,NA,3096.511217
IntegrityVikingFunds,852.25,1990,US,10,0,0,0,0,0,0,0,0,0,3589.710715,0,N,NA,3589.710715
Arden,852.17,2012,US,2.7,0,0,0,0,0,0,0,0,0,2582.408525,0,N,NA,2582.408525
MainGate Trust,849.96,2011,US,11.3,0,0,0,0,0,0,0,0,0,2487.729726,0,N,NA,2487.729726
Blackstone Group Inc,849.52,2011,US,6.1,0,0,0,0,0,0,0,0,0,13575.67599,0,N,NA,13575.67599
BMO Capital Markets Corp.,846.17,2018,US,4.4,0,0,0,0,0,0,0,0,0,4685.504251,0,N,NA,4685.504251
Semper,844.14,2010,US,8.5,0,0,0,0,0,0,0,0,0,28685.82785,0,N,NA,28685.82785
Muzinich,837.77,2013,US,3.7,0,0,0,0,0,0,0,0,0,2764.032126,0,N,NA,2764.032126
"Pacific Investment Management Company, LLC",831.55,2019,US,3.3,0,0,0,0,0,0,0,0,0,6183.111464,0,N,NA,6183.111464
Bramshill Investments,826.1,2016,US,5.5,0,0,0,0,0,0,0,0,0,3873.647046,0,N,NA,3873.647046
Toews Funds,814.47,2010,US,8.5,0,0,0,0,0,0,0,0,0,18929.3306,0,N,NA,18929.3306
Hussman Funds,792.58,2000,US,20.4,0,0,0,0,0,0,0,0,0,5553.295758,0,N,NA,5553.295758
Mirae Asset Global Investments,788.55,2010,US,6.7,0,1670.419728,551.985,1670.419728,1670.419728,0,0,0,0,0,0,N,NA,5011.259184
M Funds,786.65,1996,US,5.7,0,3480.815443,550.655,3480.815443,3480.815443,0,0,0,0,0,0,N,NA,10442.44633
Roundhill Investments,780.21,2014,US,1.1,0,733.2059367,546.147,733.2059367,733.2059367,0,0,0,0,0,0,N,NA,2199.61781
Distillate Capital Partners,779.35,2018,US,2.7,0,2903.281754,545.545,2903.281754,2903.281754,0,0,0,0,0,0,N,NA,8709.845263
Olstein,771.85,1995,US,9.9,0,2494.770161,540.295,2494.770161,2494.770161,0,0,0,0,0,0,N,NA,7484.310483
Blackstone Inc,771.19,2011,APAC,3.6,0,871.0077107,539.833,871.0077107,871.0077107,0,0,0,0,0,0,N,NA,2613.023132
Teton Westwood Funds,762.98,1987,APAC,7.3,0,3026.879884,534.086,3026.879884,3026.879884,0,0,0,0,0,0,N,NA,9080.639651
Holbrook Holdings,734.69,2016,APAC,5.9,0,4590.325393,514.283,4590.325393,4590.325393,0,0,0,0,0,0,N,NA,13770.97618
Lyrical,733.3,2013,APAC,9.2,0,958.9409803,513.31,958.9409803,958.9409803,0,0,0,0,0,0,N,NA,2876.822941
Leuthold,730.8,1995,APAC,6.9,0,1849.343964,511.56,1849.343964,1849.343964,0,0,0,0,0,0,N,NA,5548.031892
